,Prob_Regime0,Prob_Regime1,Prob_Regime2,Regime_Candidate,Regime,Regime_Name
2013-06-30,0.9974373758314653,1.002122126951034e-14,0.002562624168524718,0,0,Defensive
2013-07-31,0.9987186879157326,5.010610634755169e-15,0.0012813120842623588,0,0,Defensive
2013-08-31,0.9993593439578663,2.5053053173775847e-15,0.0006406560421311794,0,0,Defensive
2013-09-30,0.9996796719789331,1.2526526586887923e-15,0.0003203280210655897,0,0,Defensive
2013-10-31,0.9998398288104458,6.263263293443963e-16,0.00016017118955356175,0,0,Defensive
2013-11-30,0.9999199170973557,3.1316316467219814e-16,8.00829026439933e-05,0,0,Defensive
2013-12-31,0.9999599585486779,1.5658158233609907e-16,4.0041451321996646e-05,0,0,Defensive
2014-01-31,0.970895607391085,7.829079116804947e-17,0.029104392608914783,0,0,Defensive
2014-02-28,0.9825890028093325,3.914539558402476e-17,0.017410997190667632,0,0,Defensive
2014-03-31,0.9964565415330776,1.957269779201238e-17,0.0035434584669224133,0,0,Defensive
2014-04-30,0.9982132888229439,9.786348896006193e-18,0.0017867111770561177,0,0,Defensive
2014-05-31,0.9417973695588774,4.893174448003139e-18,0.058202630441122644,0,0,Defensive
2014-06-30,0.9701665163113704,2.4465872240015526e-18,0.029833483688629613,0,0,Defensive
2014-07-31,0.9920086788970448,1.2232936120176374e-18,0.007991321102955144,0,0,Defensive
2014-08-31,0.9965275083851215,6.116468060024958e-19,0.0034724916148784527,0,0,Defensive
2014-09-30,0.9982657133954563,3.058234030012479e-19,0.001734286604543671,0,0,Defensive
2014-10-31,0.9182185537333066,1.52911701500624e-19,0.08178144626669337,0,0,Defensive
2014-11-30,0.9894521404783114,7.645585075031198e-20,0.010547859521688609,0,0,Defensive
2014-12-31,0.9947260702391557,3.822792537515599e-20,0.005273929760844304,0,0,Defensive
2015-01-31,0.9973630351195778,1.9113962687577993e-20,0.0026369648804221517,0,0,Defensive
2015-02-28,0.998681517559789,9.556981343788997e-21,0.0013184824402110787,0,0,Defensive
2015-03-31,0.9993407587797463,4.778490671894499e-21,0.0006592412202537629,0,0,Defensive
2015-04-30,0.9996703793899288,2.3892453359472495e-21,0.0003296206100712972,0,0,Defensive
2015-05-31,0.9998351896949643,1.1946226679736246e-21,0.00016481030503564858,0,0,Defensive
2015-06-30,0.22552649607979453,5.973113339868126e-22,0.7744735039202054,2,2,Growth
2015-07-31,0.10753836961125098,2.9865566699340624e-22,0.892461630388749,2,2,Growth
2015-08-31,0.8521272624805739,1.4932783349670307e-22,0.14787273751942603,0,0,Defensive
2015-09-30,0.926063631240287,7.466391674835154e-23,0.07393636875971302,0,0,Defensive
