,Prob_Regime0,Prob_Regime1,Prob_Regime2,Prob_Regime3,Regime_Candidate,Regime,Regime_Name
2005-09-30,3.8148138488747617e-07,0.09999999999999883,0.02580216019831145,0.8741974583203048,3,3,Walking on Ice
2005-10-31,1.9074069244373808e-07,0.04999999999999941,0.012901080099155726,0.9370987291601525,3,3,Walking on Ice
2005-11-30,9.537034622186903e-08,0.024999999999999703,0.8064505400495778,0.1685493645800762,2,2,Steady State
2005-12-31,4.768517311093452e-08,0.012499999999999853,0.10322527002478896,0.8842746822900381,3,3,Walking on Ice
2006-01-31,0.8000000238424584,0.006249999999999923,0.051612635012522654,0.142137341145019,0,0,Crisis
2006-02-28,0.1000000119212773,0.003124999999999963,0.02580631750621326,0.8710686705725095,3,3,Walking on Ice
2006-03-31,0.05000000596063865,0.0015624999999999814,0.01290315875310663,0.9355343352862547,3,3,Walking on Ice
2006-04-30,0.8250000029803194,0.0007812499999999908,0.006451579376553316,0.1677671676431274,0,0,Crisis
2006-05-31,0.11250000149015967,0.00039062499999999536,0.0032257896882766576,0.8838835838215637,3,3,Walking on Ice
2006-06-30,0.05625000077441337,0.8001953124706664,0.0016128948441383297,0.14194179191078193,1,1,Inflation
2006-07-31,0.028125000379628794,0.900097656242911,0.0008064474220691642,0.07097089595539091,1,1,Inflation
2006-08-31,0.814057796977854,0.15004882812273887,0.0004032237110345821,0.035490151188372544,0,0,Crisis
2006-09-30,0.10703066219293092,0.8750244140613694,0.0002016118555172911,0.017743311890182367,1,1,Inflation
2006-10-31,0.05351533109646546,0.9375122070306847,0.00010080592775864555,0.008871655945091183,1,1,Inflation
2006-11-30,0.02675766554823273,0.9687561035153424,5.0402963879322775e-05,0.004435827972545592,1,1,Inflation
2006-12-31,0.013378832774116365,0.9843780517576712,2.5201481939661388e-05,0.002217913986272796,1,1,Inflation
2007-01-31,0.006689444104442298,0.9914914415848421,0.0007101573175792517,0.0011089569931363973,1,1,Inflation
2007-02-28,0.7116385021961467,0.19600731490266862,0.0917997044046166,0.0005544784965681987,0,0,Crisis
2007-03-31,0.09020907964634417,0.09800365745133435,0.011510023654037492,0.8002772392482841,3,3,Walking on Ice
2007-04-30,0.04510453982317206,0.8490018287214972,0.005755011831188743,0.10013861962414199,1,1,Inflation
2007-05-31,0.022552269911586043,0.9245009143623124,0.0028775059140306227,0.05006930981207103,1,1,Inflation
2007-06-30,0.011276134955793023,0.16225045718115624,0.8014387526819731,0.025034655181077753,2,2,Steady State
2007-07-31,0.6874668020937853,0.081125228590578,0.21889064182823867,0.01251732748739802,0,0,Crisis
2007-08-31,0.08804762556593446,0.8405626142952889,0.06513109639507761,0.006258663743699017,1,1,Inflation
2007-09-30,0.044023812786177834,0.9202813071444338,0.032565548197538846,0.0031293318718495122,1,1,Inflation
2007-10-31,0.02201190639188494,0.1601406535734208,0.016282774098769406,0.8015646659359248,3,3,Walking on Ice
2007-11-30,0.011005953195942471,0.8800703267867105,0.008141387049384705,0.10078233296796239,1,1,Inflation
2007-12-31,0.805502966516709,0.14003516339335528,0.00407070360595438,0.05039116648398122,0,0,Crisis
2008-01-31,0.9027514870387622,0.07001758169667781,0.002035348022569358,0.025195583241990668,0,0,Crisis
2008-02-29,0.15137574351940522,0.03500879084833876,0.0010176744217477683,0.8125977912105082,3,3,Walking on Ice
2008-03-31,0.8756878717597026,0.0175043954241694,0.0005088370569410245,0.10629889575918688,0,0,Crisis
2008-04-30,0.13784393587985133,0.8087521977120847,0.00025441852847051227,0.05314944787959344,1,1,Inflation
2008-05-31,0.8689219679399256,0.10437609885604236,0.00012720926423525613,0.02657472393979672,0,0,Crisis
2008-06-30,0.13446098396996284,0.05218804942802118,6.360463211762807e-05,0.8132873619698984,3,3,Walking on Ice
2008-07-31,0.06756599548506317,0.026094024714010615,3.180231605881406e-05,0.9063081774848674,3,3,Walking on Ice
2008-08-31,0.833657183930001,0.013047012357005297,1.590115802940702e-05,0.1532799025549643,0,0,Crisis
2008-09-30,0.9168285919650005,0.0065235061785026485,7.95057901470351e-06,0.07663995127748215,0,0,Crisis
2008-10-31,0.9584142959825003,0.003261753089251324,3.975289507351754e-06,0.038319975638741066,0,0,Crisis
2008-11-30,0.17920714799124932,0.8016307473847999,2.1168045803059694e-06,0.019159987819370443,1,1,Inflation
2008-12-31,0.08960357399562502,0.10081542212733503,0.800001009967275,0.009579993909764833,2,2,Steady State
2009-01-31,0.044801786997812496,0.8504077110252634,0.10000050502207145,0.004789996954852576,1,1,Inflation
2009-02-28,0.022400893498906265,0.12520385552703334,0.05000025249663429,0.8023949984774261,3,3,Walking on Ice
2009-03-31,0.011200446749453133,0.06260192776351667,0.025000126248317153,0.901197499238713,3,3,Walking on Ice
2009-04-30,0.005600223374726567,0.03130096388175834,0.012500063124158576,0.9505987496193565,3,3,Walking on Ice
2009-05-31,0.0028001116873632836,0.01565048194087917,0.006250031562079288,0.9752993748096783,3,3,Walking on Ice
2009-06-30,0.0014000558436816418,0.007825240970439585,0.003125015781039644,0.9876496874048392,3,3,Walking on Ice
2009-07-31,0.0007000279218408209,0.003912620485219793,0.001562507890519822,0.9938248437024195,3,3,Walking on Ice
