,Prob_Regime0,Prob_Regime1,Prob_Regime2,Prob_Regime3,Prob_Regime4,Regime_Candidate,Regime,Regime_Name
1999-10-31,0.006792395395236806,0.23251512730360824,0.6293145535110208,0.023058751063796328,0.10831917272633781,2,2,Steady State
1999-11-30,0.0054339163161914944,0.1860121018428906,0.6679882103046185,0.018313459912926114,0.12225231162337338,2,2,Steady State
1999-12-31,0.004347133052952031,0.14880968147431023,0.29249350467279406,0.47680128191581117,0.07754839888413242,3,2,Steady State
2000-01-31,0.0065748674907409555,0.5799505841310666,0.2329425467762517,0.11849328249463272,0.06203871910730809,1,2,Steady State
2000-02-29,0.00475168227287404,0.20172264521256594,0.18635425014097112,0.09480081488347843,0.5123706074901105,4,2,Steady State
2000-03-31,0.003087884303142388,0.1613781161303161,0.14908327912563937,0.5398371286339991,0.14661359180690303,3,2,Steady State
2000-04-30,0.0025135434846544086,0.5930592306354434,0.11926662327593775,0.16786970405027998,0.1172908985536843,1,2,Steady State
2000-05-31,0.0020010400910487115,0.6744433635775968,0.09541329862075029,0.13429576324022416,0.09384653447038006,1,1,Inflation
2000-06-30,0.001592408143526275,0.27557098357081833,0.5403281113049231,0.10743911403561132,0.075069382945121,2,1,Inflation
2000-07-31,0.0012746313461214844,0.6841892534289211,0.1682639271564443,0.08594986685550182,0.06032232121301116,1,1,Inflation
2000-08-31,0.0010193046119146593,0.28350362003822666,0.598609223462483,0.06876181090421905,0.04810604098315654,2,1,Inflation
2000-09-30,0.04179116695372849,0.6498271724412967,0.2148884701953002,0.05500835777761701,0.03848483263205759,1,1,Inflation
2000-10-31,0.014860965989873319,0.3921184360547693,0.17191077658071555,0.044006686222335285,0.37710313515230653,1,1,Inflation
2000-11-30,0.47319084432087566,0.24943412373822085,0.1375286210230605,0.035205348977730706,0.10464106194011226,0,0,Crisis
2000-12-31,0.46776034692735924,0.19954729656813036,0.20762875345744228,0.04107099048293893,0.08399261256412913,0,0,Crisis
2001-01-31,0.3297986151030644,0.1596378372544995,0.11061522148251533,0.2189068179417038,0.18104150821821688,0,0,Crisis
2001-02-28,0.6387650799641303,0.12771064027935616,0.08846567168560716,0.06509122203485342,0.07996738603605293,0,0,Crisis
2001-03-31,0.710941853386855,0.10223872280793422,0.07077253734848574,0.05207297762788274,0.06397390882884235,0,0,Crisis
2001-04-30,0.30479355005608866,0.08175091091378582,0.056779550633588555,0.5054968613334633,0.05117912706307385,3,3,Walking on Ice
2001-05-31,0.24383484164901964,0.06540159928641984,0.045331856607764266,0.14048938881736783,0.5049423136394285,4,3,Walking on Ice
